nome,instagram,já_foi_abordado
assisodontorv,https://www.instagram.com/assisodontorv/,Sim
preparatoriobucomaxilorj,https://www.instagram.com/preparatoriobucomaxilorj/,Sim
drbrunochagas,https://www.instagram.com/drbrunochagas/,Sim
diegoassuncao.buco,https://www.instagram.com/diegoassuncao.buco/,Sim
drfabioguedes_bucomaxilo,https://www.instagram.com/drfabioguedes_bucomaxilo/,Sim
pedrohenrique.bucomaxilo,https://www.instagram.com/pedrohenrique.bucomaxilo/,Sim
oraldesign.lab,https://www.instagram.com/oraldesign.lab/,Sim
drachrisfurtado,https://www.instagram.com/drachrisfurtado/,Sim
odontologiavitoria01,https://www.instagram.com/odontologiavitoria01/,Sim
vipesteticadental,https://www.instagram.com/vipesteticadental/,Sim
drfillipe.implantes,https://www.instagram.com/drfillipe.implantes/,Sim
visageclinica_,https://www.instagram.com/visageclinica_/,Sim
centrodeesteticadental_ced,https://www.instagram.com/centrodeesteticadental_ced/,Sim
dpestetica,https://www.instagram.com/dpestetica/,Sim
odontologiamesquitaacai,https://www.instagram.com/odontologiamesquitaacai/,Sim
